# State name ; Accepting (Yes, No, or lookahead name); lookahead name or empty; Break type.
START ; No ;  ; 
sot sot ; No ;  ; 
sot ATerm XX ; No ;  ; 
sot ; Yes ;  ; 
sot XX ; Yes ;  ; 
sot Upper ; Yes ;  ; 
sot STerm ; Yes ;  ; 
sot ATerm ; Yes ;  ; 
sot STerm Sp ; Yes ;  ; 
sot STerm LF ; Yes ;  ; 
sot STerm CR ; Yes ;  ; 
sot ATerm Sp ; Yes ;  ; 
sot ATerm Close ; Yes ;  ; 
sot Upper ATerm ; Yes ;  ; 
sot eot ; Yes ;  ; 
sot CR ; Yes ;  ; 
